Rangecard Export (Sierra MatchKing - 5.690 mm - 69.0 GR)
MV [M/S],814.5,BW [GR],69.0,BD [MM],5.690,BC [CDM],1.000
Wind Speed [M/S],1.0,Wind Speed 2 [M/S],10.0,TEMP [°C],11,Pressure [MBAR],985
Humidity [%],74,Inclination [°],6,Heading [°],0,Wind Direction,3:00
Target Speed [M/S],0.0,Target Direction,Left To Right
Range [M],Elevation [MRAD],Windage [MRAD],Windage 2 [MRAD],Lead [MRAD],ToF [SEC],Energy [J],Velocity [M/S],Mach,Drop [mm],Max Ord. [mm],Max Ord. Range [M],Trace [MRAD],P(hit) [%],Dialed El. [MRAD]
5,10.72 U,0.03 R,0.08 R,0.00 L,0.01,1468,810.1,2.40 ,-60.69,27.79,7,3.81,100,10.72 U
10,4.71 U,0.04 R,0.11 R,0.00 L,0.01,1452,805.8,2.38 ,-61.20,12.78,12,1.05,100,4.71 U
15,2.72 U,0.04 R,0.14 R,0.00 L,0.02,1436,801.5,2.37 ,-62.09,7.65,17,0.45,100,2.72 U
20,1.75 U,0.04 R,0.17 R,0.00 L,0.02,1421,797.1,2.36 ,-63.36,5.00,22,0.23,100,1.75 U
25,1.18 U,0.04 R,0.21 R,0.00 L,0.03,1406,792.8,2.35 ,-65.02,3.35,27,0.13,100,1.18 U
30,0.82 U,0.04 R,0.24 R,0.00 L,0.04,1391,788.5,2.33 ,-67.07,2.22,31,0.07,100,0.82 U
35,0.57 U,0.04 R,0.27 R,0.00 L,0.04,1375,784.3,2.32 ,-69.51,1.40,36,0.04,100,0.57 U
40,0.39 U,0.05 R,0.30 R,0.00 L,0.05,1361,780.0,2.31 ,-72.35,0.78,41,0.02,100,0.39 U
45,0.26 U,0.05 R,0.34 R,0.00 L,0.06,1346,775.7,2.30 ,-75.59,0.31,45,0.01,100,0.26 U
50,0.17 U,0.05 R,0.37 R,0.00 L,0.06,1331,771.5,2.28 ,-79.24,1.81,52,0.03,100,0.17 U
55,0.10 U,0.05 R,0.40 R,0.00 L,0.07,1316,767.2,2.27 ,-83.31,1.22,57,0.02,100,0.10 U
60,0.05 U,0.05 R,0.44 R,0.00 L,0.08,1302,763.0,2.26 ,-87.79,0.76,61,0.01,100,0.05 U
65,0.01 U,0.06 R,0.47 R,0.00 L,0.08,1288,758.8,2.25 ,-92.69,0.41,66,0.01,100,0.01 U
70,0.02 D,0.06 R,0.50 R,0.00 L,0.09,1273,754.6,2.23 ,-98.02,2.71,71,0.04,100,0.02 D
75,0.03 D,0.06 R,0.54 R,0.00 L,0.10,1259,750.4,2.22 ,-103.77,5.25,75,0.07,100,0.03 D
80,0.04 D,0.06 R,0.57 R,0.00 L,0.10,1245,746.2,2.21 ,-109.97,7.36,82,0.09,100,0.04 D
85,0.05 D,0.06 R,0.61 R,0.00 L,0.11,1231,742.1,2.20 ,-116.61,8.11,86,0.09,100,0.05 D
90,0.04 D,0.07 R,0.64 R,0.00 L,0.12,1218,737.9,2.18 ,-123.69,8.07,91,0.09,100,0.04 D
